bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
Chart_17,Chart_17_n3.txt,True,44,1,1,True,True,False,True,False
Cli_23,Cli_23_n1.txt,True,52,3,2,True,True,False,False,False
Cli_23,Cli_23_n4.txt,True,69,3,1,True,True,False,False,False
Cli_26,Cli_26_n2.txt,False,40,1,1,True,True,False,True,False
Cli_35,Cli_35_n3.txt,True,94,3,1,True,True,False,True,False
Cli_35,Cli_35_n2.txt,True,109,3,1,True,True,False,True,False
Cli_35,Cli_35_n4.txt,True,109,3,1,True,True,False,True,False
Closure_134,Closure_134_n2.txt,False,23,4,1,False,True,False,False,False
Closure_134,Closure_134_n0.txt,False,23,4,1,False,True,False,False,False
Closure_134,Closure_134_n3.txt,False,23,4,1,False,True,False,False,False
Closure_134,Closure_134_n4.txt,False,23,4,1,False,True,False,False,False
Closure_143,Closure_143_n2.txt,False,37,1,1,True,True,False,False,False
Closure_48,Closure_48_n1.txt,False,9,2,1,False,False,False,False,False
Closure_48,Closure_48_n4.txt,False,9,2,1,False,False,False,False,False
Closure_78,Closure_78_n1.txt,False,21,1,1,True,True,False,False,False
Closure_85,Closure_85_n2.txt,False,91,1,1,True,True,False,False,False
Codec_13,Codec_13_n0.txt,True,26,3,3,True,True,False,True,False
Codec_9,Codec_9_n4.txt,False,46,1,1,True,True,False,False,False
Codec_9,Codec_9_n2.txt,False,63,1,1,True,False,False,False,False
Compress_23,Compress_23_n2.txt,False,27,1,1,True,True,False,False,False
Csv_2,Csv_2_n3.txt,False,59,1,1,True,True,False,False,False
JacksonCore_19,JacksonCore_19_n0.txt,True,89,1,1,True,False,False,False,False
JacksonCore_5,JacksonCore_5_n0.txt,True,14,4,4,True,True,False,False,False
JacksonDatabind_2,JacksonDatabind_2_n1.txt,False,35,1,1,False,False,False,False,False
Jsoup_12,Jsoup_12_n2.txt,True,55,1,1,True,True,False,False,False
Jsoup_26,Jsoup_26_n4.txt,True,56,1,1,True,True,False,False,False
Jsoup_27,Jsoup_27_n2.txt,False,24,1,1,True,True,False,False,False
Jsoup_68,Jsoup_68_n2.txt,False,28,1,1,True,True,False,False,False
Jsoup_80,Jsoup_80_n0.txt,True,30,1,4,True,True,False,True,False
JxPath_11,JxPath_11_n2.txt,False,42,1,1,True,True,False,False,False
JxPath_11,JxPath_11_n3.txt,False,50,1,1,True,True,False,False,False
JxPath_3,JxPath_3_n0.txt,False,169,1,1,True,True,False,False,False
Lang_19,Lang_19_n0.txt,True,19,2,2,True,True,False,True,False
Lang_20,Lang_20_n0.txt,True,39,1,1,True,True,False,False,False
Lang_33,Lang_33_n0.txt,True,23,2,1,True,True,False,False,False
Lang_33,Lang_33_n3.txt,True,39,2,1,True,True,False,False,False
Lang_35,Lang_35_n2.txt,False,50,1,1,True,True,False,False,True
Lang_35,Lang_35_n4.txt,False,33,1,1,True,True,False,True,False
Lang_37,Lang_37_n0.txt,False,33,1,4,True,False,False,False,False
Lang_9,Lang_9_n3.txt,False,40,1,1,False,False,False,False,False
Math_101,Math_101_n4.txt,False,41,1,1,True,True,False,False,False
Math_3,Math_3_n2.txt,True,34,1,1,True,True,False,True,False
Math_58,Math_58_n2.txt,True,114,2,1,True,True,False,True,False
Math_58,Math_58_n4.txt,True,114,2,1,True,True,False,True,False
Math_74,Math_74_n2.txt,False,19,1,1,True,True,False,False,False
Math_89,Math_89_n4.txt,False,31,4,1,True,True,False,False,False
Math_89,Math_89_n1.txt,False,59,4,1,True,True,False,False,False
Math_89,Math_89_n3.txt,False,31,4,2,True,True,False,False,False
Math_90,Math_90_n4.txt,False,31,1,1,True,True,False,True,False
Time_11,Time_11_n2.txt,False,20,1,1,False,False,False,False,False
Time_14,Time_14_n1.txt,True,34,1,1,True,True,False,True,False
Time_18,Time_18_n1.txt,True,34,3,2,True,True,False,True,False
Time_18,Time_18_n4.txt,True,56,3,1,True,True,False,True,True
Time_2,Time_2_n0.txt,True,35,4,2,False,True,False,False,False
Time_2,Time_2_n1.txt,True,37,4,1,False,True,False,False,False
Time_2,Time_2_n2.txt,True,30,4,1,False,True,False,False,False
