bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
Cli_14,Cli_14_n4.txt,False,165,1,1,True,False,False,False,True
Cli_20,Cli_20_n3.txt,False,96,1,1,False,False,False,False,False
Cli_23,Cli_23_n0.txt,True,69,3,1,True,True,False,False,False
Cli_23,Cli_23_n3.txt,False,71,3,1,True,True,False,False,False
Cli_23,Cli_23_n1.txt,True,85,3,1,True,True,False,False,False
Cli_35,Cli_35_n0.txt,True,99,3,1,True,True,False,True,False
Cli_35,Cli_35_n4.txt,True,99,3,1,True,True,False,True,False
Cli_35,Cli_35_n1.txt,True,94,3,1,True,True,False,True,False
Closure_134,Closure_134_n2.txt,False,23,4,1,False,True,False,False,False
Closure_134,Closure_134_n4.txt,False,23,4,3,False,True,False,False,False
Closure_136,Closure_136_n0.txt,False,24,1,1,False,False,True,False,False
Closure_146,Closure_146_n1.txt,False,9,1,1,False,False,False,False,False
Closure_148,Closure_148_n1.txt,False,36,1,1,False,False,True,False,False
Closure_153,Closure_153_n3.txt,False,36,1,1,False,False,False,False,False
Closure_159,Closure_159_n2.txt,False,16,1,1,False,True,False,False,False
Closure_164,Closure_164_n2.txt,False,9,1,1,False,False,False,False,False
Closure_166,Closure_166_n4.txt,False,44,1,1,False,False,False,False,False
Closure_169,Closure_169_n1.txt,False,9,1,1,False,False,False,False,False
Closure_171,Closure_171_n0.txt,False,16,1,1,False,True,False,False,False
Closure_21,Closure_21_n4.txt,False,9,1,1,False,False,False,False,False
Closure_48,Closure_48_n1.txt,False,9,1,1,False,False,False,False,False
Closure_69,Closure_69_n4.txt,False,12,1,1,False,False,False,False,False
Closure_78,Closure_78_n4.txt,False,14,1,1,True,True,False,False,False
Closure_8,Closure_8_n3.txt,False,14,1,1,False,False,False,False,False
Codec_9,Codec_9_n0.txt,False,46,2,1,True,True,False,False,False
Codec_9,Codec_9_n2.txt,False,46,2,1,True,True,False,False,False
Codec_5,Codec_5_n4.txt,False,67,1,1,True,True,False,False,False
Compress_23,Compress_23_n1.txt,False,27,1,1,True,True,False,False,False
Compress_27,Compress_27_n2.txt,False,684,1,1,True,True,False,True,False
Compress_44,Compress_44_n0.txt,False,24,5,4,True,True,False,True,False
Compress_44,Compress_44_n1.txt,False,27,5,1,True,True,False,True,False
Csv_2,Csv_2_n0.txt,False,59,2,1,True,True,False,False,False
Csv_2,Csv_2_n4.txt,False,59,2,1,True,True,False,False,False
Csv_6,Csv_6_n3.txt,True,56,2,1,True,True,False,False,False
Csv_6,Csv_6_n4.txt,True,53,2,1,True,True,False,False,False
Gson_15,Gson_15_n0.txt,False,42,1,1,False,True,False,False,False
Gson_5,Gson_5_n2.txt,True,38,1,1,True,True,False,True,False
JacksonCore_19,JacksonCore_19_n4.txt,True,89,1,1,True,True,False,True,False
JacksonCore_5,JacksonCore_5_n1.txt,True,14,4,4,True,True,False,False,False
JacksonDatabind_10,JacksonDatabind_10_n1.txt,False,87,1,1,False,False,False,False,False
JacksonDatabind_13,JacksonDatabind_13_n1.txt,False,39,1,1,True,False,False,False,False
JacksonDatabind_40,JacksonDatabind_40_n1.txt,False,45,1,1,True,False,False,False,False
