bug_id,test_path,success,test_length,clus_size_output_fib,num_fib_tests,is_crash,actual_crash,actual_value_match,exception_type_match,test_exception_type_match
Cli_26,Cli_26_n38.txt,False,38,11,1,True,True,False,True,True
Cli_26,Cli_26_n46.txt,False,48,11,1,True,True,False,True,True
Cli_26,Cli_26_n47.txt,False,48,11,1,True,True,False,True,True
Cli_26,Cli_26_n48.txt,False,64,11,1,True,True,False,True,True
Cli_26,Cli_26_n5.txt,False,90,1,1,True,False,False,False,True
Cli_26,Cli_26_n9.txt,False,61,11,1,True,True,False,True,True
Cli_29,Cli_29_n0.txt,False,90,1,1,False,False,False,False,False
Cli_29,Cli_29_n12.txt,False,89,1,1,False,True,False,False,False
Cli_29,Cli_29_n20.txt,False,89,1,1,False,False,False,False,False
Cli_29,Cli_29_n21.txt,False,94,1,1,False,False,False,False,False
Cli_29,Cli_29_n30.txt,False,99,1,1,False,False,False,False,False
Cli_29,Cli_29_n33.txt,False,94,3,1,False,False,False,False,False
Cli_29,Cli_29_n43.txt,False,94,3,1,False,False,False,False,False
Cli_29,Cli_29_n45.txt,True,29,2,1,False,False,True,False,False
Cli_29,Cli_29_n4.txt,False,99,3,1,False,False,False,False,False
Cli_29,Cli_29_n6.txt,False,91,1,1,False,False,False,False,False
Cli_29,Cli_29_n8.txt,True,29,2,1,False,False,True,False,False
Cli_29,Cli_29_n9.txt,False,34,1,1,False,False,True,False,False
Cli_32,Cli_32_n3.txt,False,51,1,1,True,False,False,False,True
Cli_32,Cli_32_n46.txt,False,36,1,1,True,False,False,False,False
Cli_32,Cli_32_n48.txt,False,51,1,1,True,False,False,False,False
Cli_32,Cli_32_n4.txt,False,41,1,1,True,False,False,False,False
Cli_33,Cli_33_n0.txt,False,82,1,1,False,False,False,False,False
Cli_33,Cli_33_n10.txt,False,115,1,1,False,False,False,False,False
Cli_33,Cli_33_n15.txt,False,123,3,1,False,False,False,False,False
Cli_33,Cli_33_n1.txt,False,129,1,1,False,False,False,False,False
Cli_33,Cli_33_n20.txt,False,105,2,1,False,False,False,False,False
Cli_33,Cli_33_n25.txt,False,137,2,1,False,False,False,False,False
Cli_33,Cli_33_n27.txt,False,91,1,1,False,False,False,False,False
Cli_33,Cli_33_n29.txt,False,74,1,1,False,False,False,False,False
Cli_33,Cli_33_n31.txt,False,106,1,1,False,False,False,False,False
Cli_33,Cli_33_n35.txt,True,60,1,1,False,False,False,False,False
Cli_33,Cli_33_n36.txt,False,100,1,1,False,False,False,False,False
Cli_33,Cli_33_n39.txt,False,107,1,1,False,False,False,False,False
Cli_33,Cli_33_n41.txt,False,149,1,1,False,False,False,False,False
Cli_33,Cli_33_n46.txt,False,88,1,1,False,False,False,False,False
Cli_33,Cli_33_n47.txt,True,121,3,1,False,False,False,False,False
Cli_33,Cli_33_n49.txt,True,88,3,1,False,False,False,False,False
Cli_33,Cli_33_n5.txt,True,64,2,1,False,False,False,False,False
Cli_33,Cli_33_n9.txt,False,76,2,1,False,False,False,False,False
Cli_34,Cli_34_n27.txt,False,90,1,1,False,True,False,False,False
Cli_34,Cli_34_n33.txt,True,95,1,1,False,False,True,False,False
Cli_35,Cli_35_n10.txt,True,99,26,1,True,True,False,True,False
Cli_35,Cli_35_n11.txt,True,99,26,1,True,True,False,True,False
Cli_35,Cli_35_n12.txt,True,133,1,1,True,False,False,False,False
Cli_35,Cli_35_n13.txt,True,130,2,1,True,False,False,False,False
Cli_35,Cli_35_n14.txt,True,122,26,3,True,True,False,True,False
Cli_35,Cli_35_n15.txt,True,99,26,7,True,True,False,True,False
Cli_35,Cli_35_n16.txt,True,122,26,1,True,True,False,True,False
Cli_35,Cli_35_n1.txt,True,112,26,1,True,True,False,True,False
Cli_35,Cli_35_n20.txt,True,100,26,1,True,True,False,True,False
Cli_35,Cli_35_n21.txt,True,102,26,1,True,True,False,True,False
Cli_35,Cli_35_n22.txt,True,99,26,7,True,True,False,True,False
Cli_35,Cli_35_n2.txt,True,149,2,1,True,False,False,False,False
Cli_35,Cli_35_n38.txt,False,102,1,1,True,True,False,False,False
Cli_35,Cli_35_n39.txt,True,102,26,2,True,True,False,True,False
Cli_35,Cli_35_n3.txt,True,107,26,1,True,True,False,True,False
Cli_35,Cli_35_n41.txt,True,124,1,1,True,False,False,False,False
Cli_36,Cli_36_n0.txt,False,244,8,1,False,False,False,False,False
Cli_36,Cli_36_n10.txt,True,197,7,1,False,False,False,False,False
Cli_36,Cli_36_n12.txt,False,209,8,1,False,False,False,False,False
Cli_36,Cli_36_n14.txt,False,249,1,1,False,False,False,False,False
Cli_36,Cli_36_n16.txt,True,244,7,1,False,False,False,False,False
Cli_36,Cli_36_n1.txt,False,247,1,1,False,False,False,False,False
Cli_36,Cli_36_n23.txt,False,256,8,1,False,False,False,False,False
Cli_36,Cli_36_n24.txt,False,199,1,1,False,False,False,False,False
Cli_36,Cli_36_n25.txt,True,200,7,1,False,False,False,False,False
Cli_36,Cli_36_n27.txt,False,211,8,1,False,False,False,False,False
Cli_36,Cli_36_n31.txt,False,216,7,1,False,False,False,False,False
Cli_36,Cli_36_n37.txt,False,201,1,1,False,False,False,False,False
Cli_36,Cli_36_n40.txt,False,201,7,1,False,False,False,False,False
Cli_36,Cli_36_n41.txt,False,202,1,1,False,False,False,False,False
Cli_36,Cli_36_n42.txt,False,199,7,1,False,False,False,False,False
Cli_36,Cli_36_n47.txt,True,262,8,1,False,False,False,False,False
Cli_36,Cli_36_n48.txt,False,247,7,1,False,False,False,False,False
