bug_id,first_success_rank,total_success_fibs,num_clusters
Cli_23,1,2,3
Cli_35,1,3,3
Closure_134,100000,0,2
Codec_9,100000,0,2
Compress_44,100000,0,2
Csv_2,100000,0,2
Csv_6,1,2,2
JacksonCore_5,1,1,1
JacksonDatabind_94,100000,0,2
JacksonDatabind_95,1,2,2
Jsoup_26,1,3,3
Jsoup_40,1,3,3
Jsoup_72,100000,0,2
Jsoup_80,1,1,1
Jsoup_85,100000,0,1
Jsoup_89,1,2,2
JxPath_11,100000,0,2
Lang_12,1,1,3
Lang_19,1,1,1
Lang_20,1,2,2
Lang_27,100000,0,1
Lang_33,1,2,2
Lang_37,100000,0,2
Math_1,1,1,1
Math_58,1,3,3
Math_89,100000,0,3
Mockito_3,100000,0,2
Time_2,1,2,2
